id_usuario,palavra,score
1870214326566563,amo,0.01683046076558974
1870214326566563,bom,0.012257192238882511
1870214326566563,fred,0.011803456658506623
1870214326566563,tedesco,0.009452375634754165
1870214326566563,dia,0.007957687475113391
1870214326566563,demais,0.007156221552634577
1870214326566563,bbzinho,0.006840329324764968
1870214326566563,bolo,0.006788629977997918
1870214326566563,boa,0.006193351416258388
1870214326566563,lindo,0.00603241430343407
872507229580251,cortesia,0.008515908442417206
872507229580251,lançamento,0.008345006232384749
872507229580251,sorteio,0.008325678393075955
872507229580251,participando,0.0082346003020495
872507229580251,silveira,0.0027788636248301745
872507229580251,silva,0.0027410131493161606
872507229580251,alex,0.002019237584730736
872507229580251,juliana,0.00185078943054163
872507229580251,emerson,0.0016986028718676133
872507229580251,verdade,0.0016824308752803952
1492157617538982,denise,0.02946583999745317
1492157617538982,marques,0.028842460682883726
1492157617538982,lenise,0.01896036524511972
1492157617538982,jarlison,0.015326873316708092
1492157617538982,hu,0.011647682040289932
1492157617538982,assim,0.008262346165336758
1492157617538982,brena,0.007808983555209306
1492157617538982,bem,0.00695159029302884
1492157617538982,verdade,0.006329187967163033
1492157617538982,boa,0.005723066759271639
1502169689831039,karina,0.032003345830505486
1502169689831039,soares,0.021764745437155224
1502169689831039,josý,0.01439461508471663
1502169689831039,cruz,0.012324514321802262
1502169689831039,nunes,0.011238742573058765
1502169689831039,estefany,0.007872211584960952
1502169689831039,giselle,0.007859530251372883
1502169689831039,nao,0.007522461473553552
1502169689831039,regina,0.007519162524646536
1502169689831039,camilly,0.006680789952279418
1457411227699416,jean,0.01491053977580054
1457411227699416,biazus,0.012176537900111946
1457411227699416,dieicon,0.009965956684407296
1457411227699416,quero,0.009038830463099546
1457411227699416,amor,0.008447380024617302
1457411227699416,hoje,0.007738238764642295
1457411227699416,linda,0.007128882788252931
1457411227699416,franco,0.00710637699694708
1457411227699416,vou,0.00699097471299766
1457411227699416,vai,0.0067194833705832326
2069736153313031,amo,0.003552066789138826
2069736153313031,sos,0.003263900342266984
2069736153313031,msm,0.0030071775399468322
2069736153313031,quero,0.002608879536034232
2069736153313031,amém,0.0023479047444730913
