id_usuario,trend,h,p-valor,z,Tau,slope
10214421550670970,increasing,True,0.0,12.764725978375052,0.686754858729381,0.02083333333333326
741112402763818,increasing,True,2.220446049250313e-16,8.220113326697856,0.5334692490655794,0.11433463796477494
397238520731799,decreasing,True,0.0,-12.800063524169826,-0.7303186022610483,-0.06219931271477662
1426808120769057,increasing,True,2.9944540085313776e-06,4.671199861554333,0.2530372852953498,0.011524822695035472
1796067243760886,increasing,True,0.012259937983587488,2.5045727777505884,0.14194386175207271,0.005864197530864226
1466776020086339,decreasing,True,0.0,-10.688929901473442,-0.6573002754820937,-0.0318181818181819
301517977003767,decreasing,True,9.180666724617481e-07,-4.908433672988727,-0.3141891891891892,-0.01904761904761903
180167572569447,increasing,True,1.3326985515149659e-07,5.2742916097763874,0.35797979797979795,0.030208333333333375
2414528602105480,decreasing,True,2.220446049250313e-16,-8.19199887317392,-0.517162471395881,-0.06444444444444448
928018567367487,decreasing,True,4.440892098500626e-16,-8.154980886023857,-0.4636271529888551,-0.018934717545828622
